Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,,
2024-12-24 04:00:00+00:00,21738.5,21738.5,21745.0,21738.0,21744.25,80
2024-12-24 04:05:00+00:00,21738.75,21738.75,21739.75,21736.25,21738.25,89
2024-12-24 04:10:00+00:00,21739.0,21739.0,21740.25,21736.5,21738.5,137
2024-12-24 04:15:00+00:00,21737.0,21737.0,21741.75,21736.25,21739.75,174
2024-12-24 04:20:00+00:00,21734.5,21734.5,21737.5,21726.75,21737.5,400
2024-12-24 04:25:00+00:00,21739.75,21739.75,21742.25,21734.5,21734.75,189
2024-12-24 04:30:00+00:00,21740.75,21740.75,21744.25,21739.0,21740.5,124
2024-12-24 04:35:00+00:00,21742.75,21742.75,21745.5,21741.0,21741.25,99
2024-12-24 04:40:00+00:00,21746.25,21746.25,21747.0,21742.25,21742.25,92
2024-12-24 04:45:00+00:00,21748.0,21748.0,21749.25,21745.5,21745.5,122
2024-12-24 04:50:00+00:00,21748.5,21748.5,21752.5,21746.5,21748.5,163
2024-12-24 04:55:00+00:00,21751.5,21751.5,21751.75,21747.25,21747.75,71
2024-12-24 14:30:00+00:00,21825.0,21825.0,21843.75,21799.25,21826.25,10271
2024-12-24 14:35:00+00:00,21839.0,21839.0,21850.5,21811.75,21822.5,7848
2024-12-24 14:40:00+00:00,21867.5,21867.5,21874.75,21837.5,21839.0,8159
2024-12-24 14:45:00+00:00,21871.0,21871.0,21885.5,21862.75,21868.5,5732
2024-12-24 14:50:00+00:00,21879.25,21879.25,21891.25,21854.5,21870.0,5840
2024-12-24 14:55:00+00:00,21903.25,21903.25,21907.5,21871.25,21879.0,4892
2024-12-24 15:00:00+00:00,21928.5,21928.5,21929.25,21899.25,21906.5,7170
2024-12-24 15:05:00+00:00,21913.25,21913.25,21941.25,21909.5,21928.5,6689
2024-12-24 15:10:00+00:00,21926.25,21926.25,21930.5,21906.75,21913.5,5105
2024-12-24 15:15:00+00:00,21912.75,21912.75,21934.25,21910.0,21926.5,3987
2024-12-24 15:20:00+00:00,21917.25,21917.25,21923.75,21897.25,21913.25,5372
2024-12-24 15:25:00+00:00,21924.25,21924.25,21931.0,21915.5,21917.0,4289
2024-12-24 15:30:00+00:00,21935.0,21935.0,21937.0,21921.75,21924.25,4503
2024-12-24 15:35:00+00:00,21932.25,21932.25,21948.5,21926.75,21934.25,5411
2024-12-24 15:40:00+00:00,21958.25,21958.25,21960.0,21930.75,21933.0,6171
2024-12-24 15:45:00+00:00,21965.5,21965.5,21968.5,21949.25,21956.75,5260
2024-12-24 15:50:00+00:00,21942.0,21942.0,21968.0,21938.5,21966.0,4967
2024-12-24 15:55:00+00:00,21961.25,21961.25,21966.0,21941.0,21943.25,4255
2024-12-24 16:00:00+00:00,21966.25,21966.25,21976.25,21957.75,21960.5,4387
2024-12-24 16:05:00+00:00,21971.5,21971.5,21973.25,21951.0,21967.0,3028
2024-12-24 16:10:00+00:00,21977.0,21977.0,21979.0,21958.75,21972.0,3239
2024-12-24 16:15:00+00:00,21977.0,21977.0,21985.0,21973.75,21976.5,2985
2024-12-24 16:20:00+00:00,21981.25,21981.25,21984.0,21969.25,21979.0,2613
2024-12-24 16:25:00+00:00,21976.25,21976.25,21984.0,21972.25,21980.75,1962
2024-12-24 16:30:00+00:00,21975.25,21975.25,21978.25,21962.5,21974.5,3297
2024-12-24 16:35:00+00:00,21982.75,21982.75,21987.0,21970.75,21975.5,2933
2024-12-24 16:40:00+00:00,21992.0,21992.0,21993.25,21981.0,21982.75,2803
2024-12-24 16:45:00+00:00,21991.75,21991.75,21994.75,21988.25,21991.0,2495
2024-12-24 16:50:00+00:00,21968.75,21968.75,21993.5,21953.0,21991.5,4794
2024-12-24 16:55:00+00:00,21961.75,21961.75,21987.25,21958.25,21967.75,3905
2024-12-24 17:00:00+00:00,21971.25,21971.25,21979.25,21956.5,21961.75,2806
2024-12-24 17:05:00+00:00,21977.75,21977.75,21979.75,21968.25,21972.25,1559
2024-12-24 17:10:00+00:00,21991.25,21991.25,21992.5,21973.5,21979.0,2723
2024-12-24 17:15:00+00:00,21982.25,21982.25,21992.5,21976.0,21992.0,2174
2024-12-24 17:20:00+00:00,21974.75,21974.75,21986.0,21974.0,21982.0,1892
2024-12-24 17:25:00+00:00,21989.75,21989.75,21999.25,21973.0,21974.75,3409
2024-12-24 17:30:00+00:00,21965.0,21965.0,21991.25,21963.75,21989.0,4073
2024-12-24 17:35:00+00:00,21972.5,21972.5,21976.5,21943.0,21964.25,5880
2024-12-24 17:40:00+00:00,21971.5,21971.5,21985.75,21969.0,21971.75,3706
2024-12-24 17:45:00+00:00,21978.25,21978.25,21979.25,21960.0,21971.0,3113
2024-12-24 17:50:00+00:00,22007.5,22007.5,22008.25,21976.25,21978.25,5079
2024-12-24 17:55:00+00:00,22032.75,22032.75,22034.25,21994.5,22007.5,9001
2024-12-26 05:05:00+00:00,22085.5,22085.5,22087.5,22085.0,22085.0,652
2024-12-26 05:10:00+00:00,22077.0,22077.0,22085.5,22076.0,22085.0,268
2024-12-26 05:15:00+00:00,22081.25,22081.25,22083.0,22076.0,22077.0,168
2024-12-26 05:20:00+00:00,22084.0,22084.0,22084.0,22077.0,22080.0,152
2024-12-26 05:25:00+00:00,22087.25,22087.25,22088.25,22082.25,22082.75,249
2024-12-26 05:30:00+00:00,22092.0,22092.0,22093.0,22085.75,22087.5,177
2024-12-26 05:35:00+00:00,22090.0,22090.0,22092.75,22088.5,22092.75,117
2024-12-26 05:40:00+00:00,22094.5,22094.5,22096.0,22090.0,22090.25,164
